id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,snapshot_time,can_enter,can_manage,released,overrides,cup_leagues_created,h2h_ko_matches_created,deadline_time_game_offset,ranked_count,release_time
20,Gameweek 20,2026-01-03T11:00:00+00:00,42,True,True,7324049.0,1767438000,117.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83247}, {'chip_name': 'freehit', 'num_played': 88528}, {'chip_name': 'wildcard', 'num_played': 245930}, {'chip_name': '3xc', 'num_played': 66719}]",430.0,5.0,136.0,"{'id': 136, 'points': 17}",10282852,430.0,661.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12668861,
21,Gameweek 21,2026-01-06T18:30:00+00:00,48,True,True,1967626.0,1767724200,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 119453}, {'chip_name': 'freehit', 'num_played': 88007}, {'chip_name': 'wildcard', 'num_played': 225660}, {'chip_name': '3xc', 'num_played': 98740}]",430.0,5.0,487.0,"{'id': 487, 'points': 15}",10609899,430.0,414.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12691406,
24,Gameweek 24,2026-01-31T13:30:00+00:00,55,True,True,2348034.0,1769866200,126.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 175008}, {'chip_name': 'freehit', 'num_played': 91022}, {'chip_name': 'wildcard', 'num_played': 364012}, {'chip_name': '3xc', 'num_played': 85449}]",430.0,449.0,18.0,"{'id': 18, 'points': 14}",14084799,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12773603,
25,Gameweek 25,2026-02-06T18:30:00+00:00,58,True,True,510899.0,1770402600,147.0,True,False,False,"[{'chip_name': 'bboost', 'num_played': 115138}, {'chip_name': 'freehit', 'num_played': 110640}, {'chip_name': 'wildcard', 'num_played': 248203}, {'chip_name': '3xc', 'num_played': 76563}]",430.0,249.0,235.0,"{'id': 235, 'points': 20}",10565045,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12799155,
26,Gameweek 26,2026-02-10T18:00:00+00:00,40,False,False,8562671.0,1770746400,117.0,False,True,False,"[{'chip_name': 'bboost', 'num_played': 163842}, {'chip_name': 'freehit', 'num_played': 199177}, {'chip_name': 'wildcard', 'num_played': 170257}, {'chip_name': '3xc', 'num_played': 994106}]",430.0,666.0,373.0,"{'id': 373, 'points': 17}",10933870,430.0,430.0,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",True,True,0,12820349,
27,Gameweek 27,2026-02-21T13:30:00+00:00,0,False,False,,1771680600,,False,False,True,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,True,True,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
28,Gameweek 28,2026-02-27T18:30:00+00:00,0,False,False,,1772217000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
29,Gameweek 29,2026-03-03T18:00:00+00:00,0,False,False,,1772560800,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
30,Gameweek 30,2026-03-14T11:00:00+00:00,0,False,False,,1773486000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
31,Gameweek 31,2026-03-20T18:30:00+00:00,0,False,False,,1774031400,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
32,Gameweek 32,2026-04-11T12:30:00+00:00,0,False,False,,1775910600,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
35,Gameweek 35,2026-05-02T12:30:00+00:00,0,False,False,,1777725000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
36,Gameweek 36,2026-05-09T12:30:00+00:00,0,False,False,,1778329800,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
37,Gameweek 37,2026-05-17T12:30:00+00:00,0,False,False,,1779021000,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
38,Gameweek 38,2026-05-24T13:30:00+00:00,0,False,False,,1779629400,,False,False,False,[],,,,,0,,,2025-08-17T04:46:20.565427+00:00,False,False,True,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",False,False,0,0,
